,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
313,6004,1,spatial,L,L,C,L,1,260.49
314,6004,1,spatial,R,R,C,R,1,364.18
315,6004,1,spatial,L,L,C,L,1,296.46
316,6004,1,spatial,R,L,I,R,1,299.99
317,6004,1,spatial,L,R,I,L,1,234.2
318,6004,1,spatial,R,R,C,R,1,361.6
319,6004,1,spatial,L,R,I,L,1,285.72
320,6004,1,spatial,L,L,C,L,1,280.26
321,6004,1,spatial,R,L,I,R,1,352.83
322,6004,1,spatial,L,R,I,L,1,316.13
323,6004,1,spatial,R,R,C,R,1,349.79
324,6004,1,spatial,L,L,C,L,1,320.91
325,6004,1,spatial,L,R,I,L,1,370.16
326,6004,1,spatial,R,R,C,R,1,450.54
327,6004,1,spatial,L,R,I,L,1,242.08
328,6004,1,spatial,R,R,C,R,1,223.19
329,6004,1,spatial,R,L,I,R,1,381.83
330,6004,1,spatial,L,L,C,L,1,267.12
331,6004,1,spatial,R,R,C,R,1,300.82
332,6004,1,spatial,L,R,I,L,1,185.85
333,6004,1,spatial,L,L,C,L,1,250.49
334,6004,1,spatial,R,R,C,R,1,286.07
335,6004,1,spatial,L,L,C,L,1,327.42
336,6004,1,spatial,R,L,I,R,1,360.99
337,6004,1,spatial,R,R,C,R,1,597.83
338,6004,1,spatial,L,R,I,L,1,296.09
339,6004,1,spatial,R,R,C,R,1,306.26
340,6004,1,spatial,L,L,C,L,1,339.75
341,6004,1,spatial,R,L,I,R,1,357.84
342,6004,1,spatial,L,R,I,L,1,281.9
343,6004,1,spatial,L,L,C,L,1,338.98
344,6004,1,spatial,R,L,I,R,1,325.64
345,6004,1,spatial,L,L,C,L,1,281.07
346,6004,1,spatial,R,R,C,R,1,291.37
347,6004,1,spatial,R,L,I,R,1,371.81
348,6004,1,spatial,R,R,C,R,1,311.68
349,6004,1,spatial,L,L,C,L,1,267.26
350,6004,1,spatial,R,R,C,R,1,292.81
351,6004,1,spatial,L,R,I,L,1,263.45
352,6004,1,spatial,L,L,C,L,1,297.48
353,6004,1,spatial,L,R,I,L,1,276.61
354,6004,1,spatial,R,L,I,R,1,286.49
355,6004,1,spatial,L,L,C,L,1,273.05
356,6004,1,spatial,R,L,I,R,1,314.31
357,6004,1,spatial,L,L,C,L,1,285.19
358,6004,1,spatial,L,R,I,L,1,389.08
359,6004,1,spatial,R,R,C,R,1,282.09
360,6004,1,spatial,R,L,I,R,1,409.42
361,6004,1,spatial,L,R,I,L,1,249.3
362,6004,1,spatial,R,L,I,R,1,407.76
363,6004,1,spatial,R,R,C,R,1,370.96
364,6004,1,spatial,R,L,I,R,1,320.96
365,6004,1,spatial,L,L,C,L,1,284.4
366,6004,1,spatial,R,L,I,R,1,301.72
367,6004,1,spatial,L,L,C,L,1,311.76
368,6004,1,spatial,R,L,I,R,1,329.59
369,6004,1,spatial,L,L,C,L,1,294.27
370,6004,1,spatial,L,R,I,L,1,343.24
371,6004,1,spatial,R,R,C,R,1,306.72
372,6004,1,spatial,L,R,I,L,1,262.21
373,6004,1,spatial,R,R,C,R,1,287.73
374,6004,1,spatial,L,R,I,L,1,235.4
375,6004,1,spatial,R,R,C,R,1,338.95
376,6004,1,spatial,L,L,C,L,1,302.19
377,6004,1,spatial,L,R,I,L,1,414.18
378,6004,1,spatial,R,R,C,L,0,299.12
379,6004,1,spatial,L,R,I,L,1,387.65
380,6004,1,spatial,L,L,C,L,1,413.11
381,6004,1,spatial,R,L,I,R,1,314.08
382,6004,1,spatial,R,R,C,R,1,394.51
383,6004,1,spatial,L,R,I,L,1,264.04
384,6004,1,spatial,L,L,C,L,1,375.86
385,6004,1,spatial,R,R,C,R,1,300.31
386,6004,1,spatial,L,R,I,L,1,247.96
387,6004,1,spatial,L,L,C,L,1,359.76
388,6004,1,spatial,L,R,I,L,1,478.97
389,6004,1,spatial,R,L,I,R,1,293.96
390,6004,1,spatial,R,R,C,R,1,436.62
391,6004,1,spatial,L,L,C,L,1,267.37
392,6004,1,spatial,R,L,I,R,1,277.42
393,6004,1,spatial,L,L,C,L,1,263.85
394,6004,1,spatial,L,R,I,L,1,266.09
395,6004,1,spatial,R,R,C,R,1,268.52
396,6004,1,spatial,R,L,I,R,1,388.07
397,6004,1,spatial,L,L,C,L,1,296.67
398,6004,1,spatial,R,L,I,R,1,283.47
399,6004,1,spatial,L,L,C,L,1,271.82
400,6004,1,spatial,R,L,I,R,1,313.11
401,6004,1,spatial,L,L,C,L,1,323.36
402,6004,1,spatial,R,L,I,R,1,310.18
403,6004,1,spatial,L,R,I,L,1,275.55
404,6004,1,spatial,R,R,C,R,1,277.78
405,6004,1,spatial,L,R,I,L,1,295.47
406,6004,1,spatial,R,R,C,R,1,282.29
407,6004,1,spatial,L,L,C,L,1,237.85
408,6004,1,spatial,R,L,I,R,1,310.53
409,6004,1,spatial,R,R,C,R,1,406.74
410,6004,1,spatial,L,R,I,R,0,354.4
411,6004,1,spatial,R,L,I,R,1,427.05
412,6004,1,spatial,R,R,C,R,1,335.64
413,6004,1,spatial,R,L,I,R,1,572.19
414,6004,1,spatial,L,R,I,L,1,295.71
415,6004,1,spatial,R,L,I,R,1,329.62
416,6004,1,spatial,L,L,C,L,1,331.59
417,6004,1,spatial,R,R,C,R,1,356.12
418,6004,1,spatial,R,L,I,R,1,468.95
419,6004,1,spatial,R,R,C,R,1,346.3
420,6004,1,spatial,L,R,I,L,1,372.03
